arm,run,event,site,onset,r0,rlag,tgt_peak,ach_peak,peak_ratio,ach_absmod,ach_max_raw,rmse
Hold,r1,38,D2,8343,-0.06076104159146865,-0.07538638900889583,0.000360804722,0.000532294824,1.4752989402394794,0.000532294824,0.000556261,9.168309430338245e-05
Hold,r1,39,D1,8563,0.009640328047500469,0.0036564932291616174,0.00033995777800000003,5.7452708e-05,0.1689995397016626,5.7452708e-05,8.19632e-05,3.5896165155212534e-05
Hold,r1,40,D3,8783,-0.03703242643671483,-0.05367183997631103,0.000344954722,0.00026190133199999996,0.7592339379543265,0.00026190133199999996,0.000288346,5.583896211243491e-05
Hold,r1,41,LP,9003,-0.009600117499188317,0.08433986607413899,0.0005547675,0.0001748079744,0.3151013251497249,0.0001748079744,0.000286695,9.249987724273876e-05
Hold,r1,42,P2,9223,0.05105197999897804,0.1263234840625621,0.000393803889,4.4195243999999994e-05,0.11222653009401844,4.4195243999999994e-05,6.60938e-05,4.131292510488765e-05
Hold,r1,43,SHAM,9443,-0.17722961323422187,-0.17198583202211976,3.8326943999999994e-05,0.00047871604800000004,12.490326596349558,0.00047871604800000004,0.000498281,9.37885622475734e-05
Hold,r1,44,LP,9663,0.21190410790865274,0.3752719562009414,0.0005547675,0.000259971156,0.46861280806824473,0.000259971156,0.0002867,6.241406784006507e-05
Hold,r1,45,D1,9883,-0.030252345297378275,0.011354626289700949,0.00033995777800000003,3.33043184e-05,0.09796604330082426,3.33043184e-05,6.40766e-05,3.677557914173118e-05
Hold,r1,46,D3,10103,0.2853939042285299,0.26107530770244153,0.000344954722,0.00030341348,0.8795747982252582,0.00030341348,0.000441016,0.00010986723264515112
Hold,r1,47,P2,10323,0.04371531478832853,0.11184492874414012,0.000393803889,0.00020407624800000001,0.5182179600059765,0.00020407624800000001,0.000289163,7.276947610860563e-05
Hold,r1,48,D2,10543,-0.06921076375681333,-0.08129707559409807,0.000360804722,0.000215046432,0.596018895783742,0.000215046432,0.000238306,5.9484086871649057e-05
Hold,r1,49,D3,10763,0.1274153017417547,0.04365597197372812,0.000344954722,0.00025265418799999995,0.7324271038678518,0.00025265418799999995,0.000331032,7.03344235046395e-05
Hold,r1,50,SHAM,10983,0.1931968467912877,0.281214078833443,3.8326943999999994e-05,0.000262009268,6.836163822505652,0.000262009268,0.000325203,6.01832817781183e-05
Hold,r1,51,D1,11203,-0.022735631290830626,-0.041458687481681834,0.00033995777800000003,9.66359644e-05,0.2842587246231501,9.66359644e-05,0.000116284,3.645333803590274e-05
Hold,r1,52,D2,11423,-0.05454428987573011,-0.008959032551466838,0.000360804722,6.0499516e-05,0.16767939084788366,6.0499516e-05,8.47582e-05,4.085026746670174e-05
Hold,r1,53,P2,11643,-0.15938181675833885,-0.1510324074623235,0.000393803889,0.00026387904,0.670077283061062,0.00026387904,0.000294032,8.917785370082022e-05
Hold,r1,54,LP,11863,-0.02490671400226112,0.06070440783221132,0.0005547675,5.0568861600000006e-05,0.09115325176763239,5.0568861600000006e-05,7.42041e-05,5.447363824903709e-05
Hold,r1,55,SHAM,12083,-0.12263018766373718,-0.12203330815124812,3.8326943999999994e-05,0.00039947699999999997,10.422876397345952,0.00039947699999999997,0.000425249,5.629187310458977e-05
Hold,r1,56,P2,12303,-0.033074931999156176,-0.01584453353276115,0.000393803889,0.000180060276,0.4572333616542827,0.000180060276,0.000245037,7.084308173868387e-05
Hold,r1,57,LP,12523,0.010091589353235607,0.07726660016369966,0.0005547675,2.875968e-05,0.0518409604023307,2.875968e-05,5.61117e-05,5.51222867783966e-05
Hold,r1,58,D2,12743,-0.03185500123861503,-0.005543866573577873,0.000360804722,0.000318920292,0.8839138529899839,0.000318920292,0.000358312,7.58926711607723e-05
Hold,r1,59,D3,12963,0.04846245115123694,-0.023583317593504148,0.000344954722,0.000162652292,0.471517801110141,0.000162652292,0.000277023,8.468636840309713e-05
Hold,r1,60,D1,13183,0.14031224946975232,0.399968661314507,0.00033995777800000003,0.00032224568399999995,0.9478991358744553,0.00032224568399999995,0.000373411,6.808536735699047e-05
Hold,r1,61,P2,13403,-0.12846601409345726,-0.13404780499146543,0.000393803889,0.000212049124,0.5384637631143353,0.000212049124,0.000234126,6.69792206194985e-05
Hold,r1,62,SHAM,13623,-0.01686047997859679,0.03476782774925707,3.8326943999999994e-05,0.00044993070000000005,11.7392792913518,0.00044993070000000005,0.000473483,7.179086742560375e-05
Hold,r1,63,D3,13843,0.7791222397026304,0.47649238674757677,0.000344954722,0.00060744618,1.760944672617063,0.00060744618,0.000639453,8.128765795905323e-05
Hold,r1,64,LP,14063,0.3133327147356067,0.32244064174902093,0.0005547675,9.886604e-05,0.1782116652471531,0.00013856449,0.000241968,0.00011781246664344951
Hold,r1,65,D1,14283,-0.08538639826595765,-0.08331174856583787,0.00033995777800000003,0.00047330690399999996,1.392252022543811,0.00047330690399999996,0.000503749,8.444213285986e-05
Hold,r1,66,D2,14503,-0.08725535416819569,-0.07561410845303272,0.000360804722,0.00019625790799999998,0.5439449542459147,0.00019625790799999998,0.000265085,7.017238509711441e-05
