tick,u1,u2,u3,u4,u5,u6,u7,u8
699,10,0,0,10,0,0,0,0
700,10,0,0,10,0,0,0,0
701,10,0,0,30,0,0,0,0
702,10,0,0,30,0,0,0,0
703,10,0,0,30,0,0,0,0
704,10,0,0,30,0,0,0,0
705,10,0,0,30,0,0,0,0
706,10,0,0,30,0,0,0,0
707,10,0,0,30,0,0,0,0
708,10,0,0,30,0,0,0,0
709,10,0,0,30,0,0,0,0
710,10,0,0,30,0,0,0,0
711,10,0,0,30,0,0,0,0
712,10,0,0,30,0,0,0,0
713,10,0,0,30,0,0,0,0
714,10,0,0,30,0,0,0,0
715,10,0,0,30,0,0,0,0
716,30,0,0,30,0,0,0,0
717,30,0,0,30,0,0,0,0
718,30,0,0,30,0,0,0,0
719,30,0,0,30,0,0,0,0
720,30,0,0,30,0,0,0,0
721,10,0,0,30,0,0,0,0
722,10,0,0,30,0,0,0,0
723,10,0,0,30,0,0,0,0
724,10,0,0,30,0,0,0,0
725,10,0,0,30,0,0,0,0
726,10,0,0,10,0,0,0,0
727,10,0,0,10,0,0,0,0
728,10,0,0,10,0,0,0,0
729,10,0,0,10,0,0,0,0
730,10,0,0,10,0,0,0,0
731,10,0,0,30,0,0,0,0
732,10,0,0,30,0,0,0,0
733,10,0,0,30,0,0,0,0
734,10,0,0,30,0,0,0,0
735,10,0,0,30,0,0,0,0
736,30,0,0,30,0,0,0,0
737,30,0,0,30,0,0,0,0
738,30,0,0,30,0,0,0,0
739,30,0,0,30,0,0,0,0
740,30,0,0,30,0,0,0,0
741,30,0,0,30,0,0,0,0
742,30,0,0,30,0,0,0,0
743,30,0,0,30,0,0,0,0
744,30,0,0,30,0,0,0,0
745,30,0,0,30,0,0,0,0
746,10,0,0,10,0,0,0,0
747,10,0,0,10,0,0,0,0
748,10,0,0,10,0,0,0,0
749,10,0,0,10,0,0,0,0
750,10,0,0,10,0,0,0,0
751,10,0,0,30,0,0,0,0
752,10,0,0,30,0,0,0,0
753,10,0,0,30,0,0,0,0
754,10,0,0,30,0,0,0,0
755,10,0,0,30,0,0,0,0
756,10,0,0,10,0,0,0,0
757,10,0,0,10,0,0,0,0
758,10,0,0,10,0,0,0,0
759,10,0,0,10,0,0,0,0
760,10,0,0,10,0,0,0,0
761,10,0,0,10,0,0,0,0
762,10,0,0,10,0,0,0,0
763,10,0,0,10,0,0,0,0
764,10,0,0,10,0,0,0,0
765,10,0,0,10,0,0,0,0
766,30,0,0,10,0,0,0,0
767,30,0,0,10,0,0,0,0
768,30,0,0,10,0,0,0,0
